Brand,Brand Id,Cars,Models,Model Id,Variants,Sales_2021,Price,Our_Rating,Fuel_Type,Engine_Displacement,Body_Style,Doors,Seats,Airbags,Max_Power,Max_Torque,Gearbox_Type,Warranty_Distance,Warranty_Duration,Length,Width,Height,Wheelbase,Ground_Clearance,Boot_Capacity,Fuel_Type_Propulsion,Engine_Installation,Engine_Type,Max_Engine_Power,Max_Engine_Torque,Drive_Layout,Number_Of_Gears,Selectable_Differential_Lock,Fuel_Tank_Capacity,Official_Fuel_Economy,Auto_Start_Stop,Front_Suspension_Type,Front_Springs,Rear_Suspension_Type,Rear_Springs,Damper_Control,Ride_Height_Adjust,Type_Of_Power_Assist,Steering_Adjust,Steering_Adjust_Type,Turning_Radius,Wheels,Wheel_Size,Front_Tyre_Size,Rear_Tyre_Size,Spare_Wheel,Front_Brakes,Rear_Brakes,Anti_Lock_Brakes_Abs,Electronic_Brakeforce_Distribution_Ebd,Brake_Assist_Ba,Electronic_Parking_Brake,Traction_Control,Electronic_Stability_Control,Hill_Start_Assist,Hill_Descent_Control,Anti_Pinch_Power_Windows,Central_Locking,Speed_Sensing_Auto_Door_Locks,Child_Safety_Lock,Isofix_Child_Seat_Mounts,Automatic_Headlamps,Automatic_Wipers,Rear_Washer_Wiper,Rear_Defogger,Day_Night_Interior_Mirror,Parking_Sensors,Parking_Camera,Tyre_Pressure_Monitoring_System,Blind_Spot_Monitor,Adaptive_Cruise_Control,Body_Coloured_Bumpers,Projector_Headlamps,Headlight_Type,Daytime_Running_Lights,Front_Fog_Lamps,Leather_Wrapped_Steering_Wheel,Leather_Wrapped_Gear_Knob,Drivers_Seat_Height_Adjust,Electric_Adjust_For_Drivers_Seat,Drivers_Seat_Memory,Front_Passenger_Seat_Height_Adjust,Electric_Adjust_For_Front_Passenger_Seat,Front_Passenger_Seat_Memory,Adjustable_Front_Headrests,Ventilated_Seats,Heated_Seats,Massage_Seats,Front_Seat_Armrest,Rear_Seat_Armrest,Adjustable_Rear_Headrests,Individual_Chairs_At_Rear,Rear_Seat_Backrest_Recline,Rear_Seat_Backrest_Fold,Rear_Seat_Backrest_Split,Third_Row_Seats,Audio_System,Cd_Player,Usb_Input,Aux_Input,Bluetooth_Audio_Streaming,Bluetooth_Telephone_Function,Steering_Audio_Controls,Steering_Phone_Controls,Wireless_Phone_Charging,Display,Android_Auto,Apple_Carplay,Mirrorlink,Web_Browser,Video_Player,Satellite_vigation,Voice_Commands,Gesture_Controls,Touchpad,Rear_Entertainment_Screens,Power_Windows,Power_Windows_With_One_Touch_Down,Power_Windows_With_One_Touch_Up,Exterior_Mirrors_Electric_Adjust,Exterior_Mirrors_Electric_Fold,Remote_Locking,Keyless_Entry,Push_Button_Start,Climate_Control,Rear_Ac_Vents,Third_Row_Ac_Vents,Front_Passenger_Seat_Adjust_From_Rear,Rear_Window_Sun_Shades,Rear_Windscreen_Sun_Shade,Rear_Power_Outlet,Sunroof,Configurable_Ambient_Lighting,Driving_Modes,Cruise_Control,Auto_Parking,Launch_Control,Dead_Pedal,Hands_Free_Boot_Opening,Speedometer,Tachometer,Trip_Meter,Average_Fuel_Consumption,Average_Speed,Distance_To_Empty,Low_Fuel_Level_Warning,Instantaneous_Consumption,Gear_Indicator,Shift_Indicator,Head_Up_Display,Kerb_Weight,City_Fuel_Economy_Tested,Highway_Fuel_Economy_Tested,Average sales
Audi,0,Audi A4,A4,1,40 TFSI Premium Plus,366,"4,905,000",8,Petrol,1984 cc,Sedan,4,5,8,190hp at 4200-6000rpm,320Nm at 1450-4200rpm,7-speed Dual-Clutch Auto,Unlimited km,2 Years,4762 mm,1847 mm,1433 mm,2819 mm,,460 litres,Petrol,Front,"4 cyls, Turbocharged",190hp at 4200-6000rpm,320Nm at 1450-4200rpm,Front-Wheel Drive,7,No,54 litres,,Yes,"Independent, multi-link",Coil Springs,"Independent, multi-link",Coil Springs,No,No,Electro-Mechanical,Tilt and Telescopic,Manual,,Alloys,17-inches,225/50 R17,225/50 R17,Space-saver,Discs,Discs,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Auto,Front and Rear,Rear,Yes,No,No,Yes,Yes,LED,LED,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,10.1-inch Touchscreen,Yes,Yes,No,No,No,Phone-based,Yes,No,No,No,Front and Rear,All,All,Yes,Yes,Yes,Yes,Yes,Auto 3-zone,Yes,No,No,,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Alog,Alog,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1550 kg,,,
Audi,0,Audi A4,A4,1,40 TFSI Technology,366,"5,405,000",8,Petrol,1984 cc,Sedan,4,5,8,190hp at 4200-6000rpm,320Nm at 1450-4200rpm,7-speed Dual-Clutch Auto,Unlimited km,2 Years,4762 mm,1847 mm,1433 mm,2819 mm,,460 litres,Petrol,Front,"4 cyls, Turbocharged",190hp at 4200-6000rpm,320Nm at 1450-4200rpm,Front-Wheel Drive,7,No,54 litres,,Yes,"Independent, multi-link",Coil Springs,"Independent, multi-link",Coil Springs,No,No,Electro-Mechanical,Tilt and Telescopic,Manual,,Alloys,17-inches,225/50 R17,225/50 R17,Space-saver,Discs,Discs,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Auto,Front and Rear,Rear,Yes,No,No,Yes,Yes,LED,LED,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.1-inch Touchscreen,Yes,Yes,No,No,No,Onboard,Yes,No,No,No,Front and Rear,All,All,Yes,Yes,Yes,Yes,Yes,Auto 3-zone,Yes,No,No,,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Digital,Digital,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1555 kg,,,
Audi,0,Audi A6,A6,2,45 TFSI Premium Plus,366,"6,302,000",8,Petrol-Electric Hybrid,1984 cc,Sedan,4,5,8,245hp at 5000-6000rpm,370Nm at 1600-4500rpm,7-speed Dual-Clutch Auto,Unlimited km,2 Years,4939 mm,1886 mm,1457 mm,2924 mm,,530 litres,Petrol-Electric Hybrid,Front,"4 cyls, Turbocharged",245hp at 5000-6000rpm,370Nm at 1600-4500rpm,Front-Wheel Drive,7,No,73 litres,14.11kpl,Yes,"Independent, 5-link",Coil Springs,"Independent, 5-link",Coil Springs,No,No,Electro-Mechanical,Tilt and Telescopic,Manual,5.55 m,Alloys,18-inches,225/55 R18,225/55 R18,Space-saver,Discs,Discs,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Auto,Front and Rear,Rear,Yes,No,No,Yes,No,LED,LED,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,10.1-inch and 8.6-inch Touchscreens,Yes,Yes,No,No,Yes,Onboard,Yes,No,No,No,Front and Rear,All,All,Yes,Yes,Yes,No,Yes,Auto 2-zone,Yes,,No,,,Yes,Panoramic,No,Yes,Yes,No,No,Yes,No,Alog,Alog,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1780 kg,,,
Audi,0,Audi A6,A6,2,45 TFSI Technology,366,"6,879,000",8,Petrol-Electric Hybrid,1984 cc,Sedan,4,5,8,245hp at 5000-6000rpm,370Nm at 1600-4500rpm,7-speed Dual-Clutch Auto,Unlimited km,2 Years,4939 mm,1886 mm,1457 mm,2924 mm,,530 litres,Petrol-Electric Hybrid,Front,"4 cyls, Turbocharged",245hp at 5000-6000rpm,370Nm at 1600-4500rpm,Front-Wheel Drive,7,No,73 litres,14.11kpl,Yes,"Independent, 5-link",Coil Springs,"Independent, 5-link",Coil Springs,No,No,Electro-Mechanical,Tilt and Telescopic,Powered,5.55 m,Alloys,18-inches,225/55 R18,225/55 R18,Space-saver,Discs,Discs,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Auto,Front and Rear,Rear,Yes,No,No,Yes,No,LED,LED,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,10.1-inch and 8.6-inch Touchscreens,Yes,Yes,No,No,Yes,Onboard,Yes,No,No,No,Front and Rear,All,All,Yes,Yes,Yes,Yes,Yes,Auto 4-zone,Yes,,Yes,,,Yes,Panoramic,Yes,Yes,Yes,Yes,No,Yes,Yes,Digital,Digital,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1780 kg,,,
Audi,0,Audi Q2,Q2,6,40 TFSI Quattro Standard,366,"4,056,000",7,Petrol,1984 cc,SUV,5,5,8,190hp at 4200-6000rpm,320Nm at 1500-4180rpm,7-speed Dual-Clutch Auto,50000 km,2 Years,4318 mm,1805 mm,1548 mm,2593 mm,,355 litres,Petrol,Front,"4 cyls, Turbocharged",190hp at 4200-6000rpm,320Nm at 1500-4180rpm,All-Wheel Drive,7,No,55 litres,,Yes,"Independent, MacPherson Strut",Coil Springs,"Independent, multi-link",Coil Springs,No,No,Electro-Mechanical,Tilt and Telescopic,Manual,,Alloys,17-inches,215/55 R17,215/55 R17,Space-saver,Discs,Discs,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Auto,Rear,No,Yes,No,No,Yes,Yes,LED,LED,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Screen,No,No,No,No,No,No,No,No,No,No,Front and Rear,All,All,Yes,Yes,Yes,No,No,Auto 2-zone,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Alog,Alog,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1505 kg,,,
Audi,0,Audi Q2,Q2,6,40 TFSI Quattro Premium,366,"4,738,000",7,Petrol,1984 cc,SUV,5,5,8,190hp at 4200-6000rpm,320Nm at 1500-4180rpm,7-speed Dual-Clutch Auto,50000 km,2 Years,4318 mm,1805 mm,1548 mm,2593 mm,,355 litres,Petrol,Front,"4 cyls, Turbocharged",190hp at 4200-6000rpm,320Nm at 1500-4180rpm,All-Wheel Drive,7,No,55 litres,,Yes,"Independent, MacPherson Strut",Coil Springs,"Independent, multi-link",Coil Springs,No,No,Electro-Mechanical,Tilt and Telescopic,Manual,,Alloys,17-inches,215/55 R17,215/55 R17,Space-saver,Discs,Discs,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Auto,Front and Rear,Rear,Yes,No,No,Yes,Yes,LED,LED,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,8.3-inch Screen,Yes,Yes,No,No,No,Onboard,Yes,No,Yes,No,Front and Rear,All,All,Yes,Yes,Yes,No,No,Auto 2-zone,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Digital,Digital,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1505 kg,,,
Audi,0,Audi Q2,Q2,6,40 TFSI Quattro Premium Plus I,366,"5,171,000",7,Petrol,1984 cc,SUV,5,5,8,190hp at 4200-6000rpm,320Nm at 1500-4180rpm,7-speed Dual-Clutch Auto,50000 km,2 Years,4318 mm,1805 mm,1548 mm,2593 mm,,355 litres,Petrol,Front,"4 cyls, Turbocharged",190hp at 4200-6000rpm,320Nm at 1500-4180rpm,All-Wheel Drive,7,No,55 litres,,Yes,"Independent, MacPherson Strut",Coil Springs,"Independent, multi-link",Coil Springs,No,No,Electro-Mechanical,Tilt and Telescopic,Manual,,Alloys,17-inches,215/55 R17,215/55 R17,Space-saver,Discs,Discs,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Auto,Front and Rear,Rear,Yes,No,No,Yes,Yes,LED,LED,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8.3-inch Screen,Yes,Yes,No,No,No,Onboard,Yes,No,Yes,No,Front and Rear,All,All,Yes,Yes,Yes,Yes,Yes,Auto 2-zone,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Digital,Digital,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1505 kg,,,
Audi,0,Audi Q2,Q2,6,40 TFSI Quattro Premium Plus II,366,"5,229,000",7,Petrol,1984 cc,SUV,5,5,8,190hp at 4200-6000rpm,320Nm at 1500-4180rpm,7-speed Dual-Clutch Auto,50000 km,2 Years,4318 mm,1805 mm,1548 mm,2593 mm,,355 litres,Petrol,Front,"4 cyls, Turbocharged",190hp at 4200-6000rpm,320Nm at 1500-4180rpm,All-Wheel Drive,7,No,55 litres,,Yes,"Independent, MacPherson Strut",Coil Springs,"Independent, multi-link",Coil Springs,No,No,Electro-Mechanical,Tilt and Telescopic,Manual,,Alloys,17-inches,215/55 R17,215/55 R17,Space-saver,Discs,Discs,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Auto,Front and Rear,Rear,Yes,No,No,Yes,Yes,LED,LED,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,8.3-inch Screen,Yes,Yes,No,No,No,Onboard,Yes,No,Yes,No,Front and Rear,All,All,Yes,Yes,Yes,No,No,Auto 2-zone,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Digital,Digital,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1505 kg,,,
Audi,0,Audi Q2,Q2,6,40 TFSI Quattro Technology,366,"5,662,000",7,Petrol,1984 cc,SUV,5,5,8,190hp at 4200-6000rpm,320Nm at 1500-4180rpm,7-speed Dual-Clutch Auto,50000 km,2 Years,4318 mm,1805 mm,1548 mm,2593 mm,,355 litres,Petrol,Front,"4 cyls, Turbocharged",190hp at 4200-6000rpm,320Nm at 1500-4180rpm,All-Wheel Drive,7,No,55 litres,,Yes,"Independent, MacPherson Strut",Coil Springs,"Independent, multi-link",Coil Springs,No,No,Electro-Mechanical,Tilt and Telescopic,Manual,,Alloys,17-inches,215/55 R17,215/55 R17,Space-saver,Discs,Discs,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Auto,Front and Rear,Rear,Yes,No,No,Yes,Yes,LED,LED,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8.3-inch Screen,Yes,Yes,No,No,No,Onboard,Yes,No,Yes,No,Front and Rear,All,All,Yes,Yes,Yes,Yes,Yes,Auto 2-zone,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Digital,Digital,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1505 kg,,,
Audi,0,Audi Q5,Q5,7,45 TFSI Quattro Premium Plus petrol,366,"6,855,000",8,Petrol,1984 cc,SUV,5,5,8,249hp at 5000-6000rpm,370Nm at 1600-4300rpm,7-speed Dual-Clutch Auto,2 km,Unlimited Years,4682 mm,1893 mm,1662 mm,2819 mm,,520 litres,Petrol,Front,"4 cyls, Turbocharged",249hp at 5000-6000rpm,370Nm at 1600-4300rpm,All-Wheel Drive,7,No,70 litres,,Yes,"Independent, Multi-link",Coil Springs,"Independent, Multi-link",Coil Springs,No,No,Electric,Tilt and Telescopic,Manual/Powered,,Alloys,19-inches,235/55 R19,235/55 R19,Space-saver,Discs,Discs,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Auto,Front and Rear,Rear,Yes,No,No,Yes,No,LED,LED,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Manual/No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,10.1-inch Touchscreen,Yes,Yes,No,No,No,Phone-based,Yes,No,No,No,Front and Rear,All,All,Yes,Yes,Yes,Yes,Yes,Auto 3-zone,Yes,No,No,,No,Yes,Panoramic,Yes,Yes,Yes,No,No,Yes,No,Alog,Alog,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1875 kg,,,
